x,l,abs_err_forward,rel_err_forward,abs_err_back,rel_err_back,rel_err_sph_forward,rel_err_sph_back
0.1,24,3.667313848432219e-17,2.935437735331971e-16,9.572386038490791e-02,7.662050305992547e-01,3.250525234008475e-16,7.662050305992547e-01
0.1,25,2.378468515890075e-18,2.711965270736384e-17,1.094407090498857e-01,1.247859284935652e+00,1.211180797784505e-16,1.247859284935652e+00
0.1,26,2.233456475320139e-17,1.626335909581673e-16,7.057495744108772e-02,5.139056385112099e-01,8.265107148285887e-18,5.139056385112099e-01
0.1,27,1.358640847395898e-18,2.362975678635516e-17,1.192409522123997e-01,2.073862791003932e+00,3.002587490786809e-17,2.073862791003932e+00
0.1,28,2.736255232810292e-17,1.903879599113690e-16,4.463209334789894e-02,3.105489976661617e-01,3.561580192779691e-16,3.105489976661616e-01
0.1,29,1.018133602599669e-18,3.734082277932495e-17,1.239017101389730e-01,4.544189277852427e+00,7.575671783493238e-17,4.544189277852427e+00
0.1,30,1.746920750417269e-17,1.210687656431260e-16,1.877702057563761e-02,1.301324460771917e-01,1.687310470877075e-16,1.301324460771917e-01
0.1,31,2.638719388933959e-18,1.315120298830077e-15,1.235997138606638e-01,6.160128026853881e+01,1.271524683504318e-15,6.160128026853881e+01
0.1,32,1.791644090032296e-17,1.285369444227630e-16,6.143454983669268e-03,4.407465389989419e-02,1.777580409002211e-16,4.407465389989425e-02
0.1,33,1.829591166069289e-18,6.222939264657549e-17,1.186441935196179e-01,4.035413069702690e+00,7.536093541090116e-17,4.035413069702690e+00
0.1,34,2.618348246552493e-17,2.021981551959041e-16,2.934265032478020e-02,2.265943719305066e-01,2.493103369065022e-16,2.265943719305065e-01
0.1,35,6.159623592433272e-18,1.138781820343267e-16,1.094696654978865e-01,2.023858488710115e+00,1.534771657317854e-16,2.023858488710115e+00
0.1,36,9.337691210531407e-18,8.103563646642810e-17,5.011742740006393e-02,4.349359532090434e-01,1.466862154476577e-16,4.349359532090435e-01
0.1,37,7.020209066843641e-18,9.315296830516648e-17,9.662299291630938e-02,1.282115462799188e+00,9.723979987392667e-17,1.282115462799188e+00
0.1,38,3.970890456728160e-18,4.080116067661513e-17,6.786887528091276e-02,6.973571584141143e-01,7.150065451342098e-17,6.973571584141143e-01
0.1,39,7.697835424647081e-18,8.308973009034879e-17,8.074572797837765e-02,8.715619876973031e-01,1.151695174517323e-16,8.715619876973031e-01
0.1,40,1.127570259384925e-17,1.472167096886294e-16,8.211943467461956e-02,1.072159616987630e+00,1.769533969415948e-16,1.072159616987630e+00
0.1,41,1.410818076946763e-17,1.337053937403347e-16,6.255272434806555e-02,5.928217659777216e-01,2.724707773291484e-16,5.928217659777215e-01
0.1,42,7.921452122722217e-18,1.469200283838082e-16,9.252581985115107e-02,1.716086377619193e+00,1.237091796210927e-16,1.716086377619193e+00
0.1,43,3.202462166979059e-17,2.816069336117685e-16,4.280802218334811e-02,3.764302350028685e-01,2.731129164043445e-16,3.764302350028685e-01
0.1,44,1.251914696041856e-18,4.144639194499368e-17,9.888727378624144e-02,3.273801897744824e+00,4.948234951103403e-17,3.273801897744824e+00
0.1,45,2.545164599909722e-17,2.172237679271946e-16,2.229902754155039e-02,1.903169163935282e-01,3.198789459127483e-16,1.903169163935281e-01
0.1,46,4.228388472693467e-18,6.637834646911532e-16,1.011488798045429e-01,1.587861529750127e+01,8.089344085382581e-16,1.587861529750127e+01
0.1,47,2.479434843202788e-17,2.138634668839697e-16,1.810014568703600e-03,1.561226711944635e-02,1.854526226980492e-16,1.561226711944631e-02
0.1,48,7.575862680242462e-18,4.534237754501221e-16,9.939984352533753e-02,5.949190769778771e+00,4.990920486589815e-16,5.949190769778771e+00
0.1,49,2.916503843986007e-17,2.645070601634224e-16,1.790403638567351e-02,1.623774314304030e-01,2.323536943325175e-16,1.623774314304029e-01
0.1,50,1.300026167445900e-17,3.402692095494347e-16,9.386684745046742e-02,2.456873467987104e+00,2.619437584979424e-16,2.456873467987104e+00
0.5,0,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.354797312626351e-17,1.354797312626351e-17
0.5,1,0.000000000000000e+00,0.000000000000000e+00,1.876277648892646e-01,3.752555297785292e-01,2.108036775844242e-18,3.752555297785291e-01
0.5,2,0.000000000000000e+00,0.000000000000000e+00,1.407208236669485e-01,1.125766589335588e+00,1.243565710397505e-16,1.125766589335588e+00
0.5,3,0.000000000000000e+00,0.000000000000000e+00,7.817823537052737e-03,1.786931094183483e-02,2.423879289514598e-17,1.786931094183487e-02
0.5,4,0.000000000000000e+00,0.000000000000000e+00,1.123812133451325e-01,3.887782515723503e-01,9.456833225340467e-17,3.887782515723505e-01
0.5,5,0.000000000000000e+00,0.000000000000000e+00,9.488883318097711e-02,1.056153969318702e+00,9.988086978179248e-17,1.056153969318702e+00
0.5,6,0.000000000000000e+00,0.000000000000000e+00,6.669580705048028e-03,2.063338562528453e-02,3.957279615365802e-18,2.063338562528452e-02
0.5,7,0.000000000000000e+00,0.000000000000000e+00,8.752646766695360e-02,3.922411505074857e-01,7.549064061857883e-17,3.922411505074859e-01
